Id,SalePrice
1461,126571.5
1462,150372.5
1463,182975.51
1464,181608.32
1465,196473.27
1466,182482.4
1467,166542.05
1468,176207.3
1469,179449.02
1470,122486.5
1471,190965.54
1472,93102.0
1473,98719.75
1474,151675.5
1475,144577.3
1476,382907.03
1477,246585.77
1478,308579.34
1479,256745.39
1480,460259.58
1481,319916.02
1482,210024.33
1483,176979.14
1484,178013.84
1485,175281.06
1486,200873.2
1487,324708.93
1488,244282.06
1489,212470.18
1490,201662.32
1491,191415.75
1492,96821.93
1493,175816.04
1494,308657.63
1495,299779.67
1496,224259.74
1497,192649.2
1498,154901.45
1499,152025.12
1500,150644.4
1501,173776.85
1502,169077.27
1503,299491.38
1504,224689.5
1505,220692.92
1506,184140.48
1507,215514.88
1508,201057.9
1509,161819.0
1510,151864.87
1511,150559.37
1512,168364.0
1513,152703.23
1514,164398.5
1515,180700.08
1516,160375.5
1517,154198.86
1518,128394.9
1519,221490.64
1520,139031.75
1521,144139.75
1522,164671.0
1523,114491.45
1524,119877.4
1525,124877.49
1526,130634.5
1527,103044.64
1528,126223.0
1529,141529.0
1530,166802.5
1531,134944.49
1532,110426.33
1533,143430.87
1534,116115.21
1535,164055.0
1536,114921.69
1537,80877.0
1538,181036.35
1539,246689.43
1540,114432.4
1541,151693.9
1542,142337.02
1543,222736.68
1544,77584.64
1545,105082.11
1546,121312.5
1547,140868.34
1548,135497.68
1549,114397.8
1550,142607.82
1551,119544.75
1552,146067.65
1553,142625.75
1554,114569.48
1555,172559.0
1556,96450.55
1557,121532.86
1558,91151.43
1559,119458.34
1560,153819.95
1561,158112.49
1562,129256.26
1563,124519.5
1564,164623.18
1565,152180.03
1566,211559.07
1567,79008.58
1568,219193.7
1569,145804.34
1570,127453.68
1571,135349.16
1572,145689.25
1573,237494.35
1574,116932.04
1575,209824.06
1576,215759.5
1577,207117.88
1578,162252.32
1579,143370.3
1580,191796.5
1581,142115.55
1582,128859.0
1583,332992.8
1584,240325.31
1585,140257.0
1586,73156.85
1587,107360.5
1588,154768.93
1589,99677.15
1590,132927.05
1591,104842.7
1592,124084.49
1593,118676.0
1594,139070.05
1595,122788.9
1596,229138.0
1597,159727.45
1598,184037.12
1599,213117.43
1600,190439.55
1601,76390.83
1602,116955.52
1603,95427.34
1604,284794.47
1605,249189.15
1606,166833.32
1607,165587.44
1608,211101.35
1609,203946.16
1610,160079.14
1611,145145.32
1612,156403.86
1613,164619.25
1614,121000.82
1615,87599.0
1616,84922.5
1617,87209.5
1618,128224.0
1619,133055.05
1620,151401.44
1621,135987.01
1622,151867.22
1623,296099.96
1624,212188.5
1625,132270.58
1626,173489.3
1627,191012.4
1628,283020.41
1629,176338.5
1630,354458.65
1631,227542.96
1632,244728.97
1633,169412.61
1634,180471.28
1635,179005.9
1636,160096.57
1637,171164.37
1638,211799.8
1639,182079.77
1640,246475.8
1641,184083.5
1642,219754.3
1643,224632.77
1644,225725.42
1645,176356.05
1646,153279.62
1647,163621.05
1648,140725.59
1649,140681.5
1650,124134.5
1651,124407.04
1652,92110.0
1653,96208.5
1654,154843.5
1655,155059.9
1656,150499.8
1657,154480.0
1658,152249.9
1659,146458.4
1660,147165.35
1661,432539.9
1662,385708.7
1663,371827.48
1664,448037.6
1665,315582.43
1666,332591.1
1667,357007.15
1668,323563.93
1669,298903.4
1670,338213.04
1671,255539.57
1672,461604.08
1673,304105.23
1674,253695.98
1675,184179.19
1676,190040.89
1677,212879.24
1678,472322.59
1679,376999.34
1680,328707.2
1681,271001.67
1682,301761.38
1683,185756.91
1684,170461.21
1685,174273.95
1686,167632.34
1687,167920.62
1688,185515.9
1689,189720.23
1690,183660.32
1691,173690.95
1692,271072.48
